SF-WAT,SA-CFM,RA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,SA-HUMD,RA-HUMD,OA-TEMP,HWC-EWT,E_ccoil,label
518.887,894.808,1404.613,55.148,71.528,70.709,88.377,54.814,0,102.502,7.635,1
517.716,845.939,1390.367,54.932,71.634,70.709,88.629,54.702,0,102.354,7.49,1
509.517,857.396,1371.402,54.825,71.528,70.709,88.77,54.59,0,102.28,7.411,1
520.059,868.879,1382.461,54.717,71.528,70.709,89.078,54.646,0,102.132,7.36,1
513.031,873.192,1387.204,54.717,71.315,70.499,88.966,54.561,0,101.984,7.44,1
537.628,876.069,1393.531,54.825,71.528,70.709,89.19,54.533,0,101.91,7.478,1
502.489,823.1,1399.862,54.61,71.528,70.709,89.274,54.281,0,101.836,7.369,1
498.975,828.8,1395.114,54.61,71.528,70.604,89.415,54.365,0,101.689,7.408,1
494.29,814.562,1374.56,54.502,71.528,70.604,89.639,54.505,0,101.541,7.389,1
514.202,844.508,1399.862,54.502,71.422,70.604,89.443,54.393,0,101.467,7.379,1
551.684,913.613,1403.029,54.502,71.528,70.604,89.471,54.393,0,101.467,7.299,1
552.855,880.387,1403.029,54.394,71.422,70.604,89.639,54.477,0,101.319,7.341,1
532.943,876.069,1412.535,54.502,71.422,70.604,89.976,54.393,0,101.245,7.496,1
508.346,857.396,1414.121,54.717,71.634,70.814,90.228,54.337,0,101.171,7.436,1
524.744,900.587,1418.878,54.502,71.422,70.604,90.312,54.477,0,101.024,7.486,1
538.799,884.709,1415.706,54.61,71.422,70.499,90.396,54.337,0,101.024,7.417,1
528.258,910.716,1409.365,54.61,71.209,70.393,90.677,54.477,0,100.728,7.245,1
551.684,951.42,1442.697,54.61,71.422,70.393,91.069,54.674,0,100.802,7.282,1
563.397,968.957,1444.287,54.825,71.422,70.499,91.182,54.618,0,100.728,7.137,1
555.198,923.766,1447.468,55.148,71.422,70.393,91.294,54.814,0,100.654,7.34,1
564.568,929.577,1452.241,55.04,71.422,70.393,91.322,54.954,0,100.58,7.438,1
573.939,1011.563,1477.74,55.04,71.315,70.499,91.378,54.954,0,100.432,7.426,1
569.253,998.307,1480.932,55.148,71.422,70.393,91.574,55.15,0,100.358,7.322,1
598.536,971.885,1449.059,55.471,71.422,70.393,91.518,55.234,0,100.284,7.476,1
582.138,1042.612,1485.723,55.255,71.528,70.604,91.883,55.346,0,100.063,7.72,1
598.536,1051.513,1484.126,55.363,71.315,70.393,91.967,55.43,0,100.063,7.603,1
621.962,1057.455,1512.92,55.471,71.422,70.183,91.771,55.57,0,99.989,7.72,1
606.735,1082.771,1519.332,55.794,71.422,70.393,92.051,55.907,0,99.767,7.72,1
619.619,1099.209,1527.354,55.686,71.422,70.499,92.163,55.963,0,99.767,7.709,1
647.731,1057.455,1509.716,55.794,71.209,70.183,91.995,56.075,0,99.693,7.75,1
623.133,1066.378,1501.711,55.901,71.315,70.183,91.995,56.243,0,99.619,7.661,1
611.42,1082.771,1508.114,55.901,71.209,70.183,91.799,56.327,0,99.545,7.718,1
618.448,1087.25,1512.92,55.794,71.209,70.183,91.63,56.411,0,99.545,8.404,1
634.846,1102.202,1532.171,55.794,71.209,70.078,90.789,56.579,0,99.398,8.895,1
639.531,1136.729,1532.171,55.578,71.209,70.183,90.424,56.692,0,99.25,9.233,1
638.36,1150.29,1522.54,55.471,71.209,70.078,90.452,56.579,0,99.176,9.009,1
624.305,1127.703,1514.523,55.255,71.209,70.078,90.312,56.551,0,98.88,9.281,1
633.675,1151.799,1525.749,55.363,71.209,70.078,90.452,56.383,0,99.028,9.102,1
638.36,1126.2,1525.749,55.04,71.209,69.973,90.508,56.467,0,98.88,9.09,1
618.448,1106.695,1508.114,55.04,71.209,69.973,90.256,56.495,0,98.806,9.09,1
637.189,1138.234,1511.318,55.148,71.103,69.973,90.368,56.523,0,98.585,9.055,1
637.189,1118.691,1506.513,54.825,71.103,69.973,90.621,56.495,0,98.659,9.078,1
637.189,1124.698,1512.92,55.148,71.103,69.868,90.649,56.411,0,98.585,8.951,1
628.99,1115.69,1533.777,54.932,71.315,70.078,90.733,56.299,0,98.511,8.997,1
628.99,1099.209,1501.711,54.825,71.103,69.868,90.536,56.439,0,98.141,9.09,1
645.388,1127.703,1535.384,54.717,71.103,69.868,90.649,56.383,0,98.289,9.044,1
648.902,1064.89,1506.513,54.717,70.997,69.868,90.565,56.383,0,98.215,8.973,1
618.448,1090.238,1519.332,55.04,71.315,70.078,90.649,56.215,0,98.067,8.962,1
626.647,1105.197,1503.311,54.717,70.997,69.868,90.873,56.243,0,97.993,8.985,1
603.221,1111.191,1519.332,54.61,71.103,69.868,90.957,56.299,0,97.698,9.126,1
626.647,1115.69,1533.777,54.61,71.103,69.868,90.817,56.299,0,97.846,8.834,1
648.902,1157.837,1549.858,54.502,70.997,69.868,90.789,56.327,0,97.55,8.973,1
636.018,1109.692,1516.125,54.61,70.997,69.868,90.845,56.299,0,97.624,8.823,1
592.679,1072.334,1503.311,54.61,70.997,69.868,90.817,56.299,0,97.55,8.857,1
611.42,1039.648,1500.111,54.61,70.997,69.763,90.789,56.271,0,97.476,8.916,1
617.277,1072.334,1503.311,54.502,70.997,69.868,90.705,56.075,0,97.254,8.857,1
614.934,1042.612,1509.716,54.502,71.103,69.763,90.733,56.383,0,97.328,8.973,1
605.564,1020.417,1492.115,54.717,70.997,69.763,90.677,56.215,0,97.181,8.88,1
602.05,1061.915,1516.125,54.394,71.209,69.973,90.508,56.327,0,97.107,8.729,1
627.818,1087.25,1512.92,54.394,71.103,69.973,90.565,56.159,0,97.107,8.488,1
616.105,1045.578,1488.918,54.394,70.997,69.763,90.873,56.159,0,96.885,8.382,1
595.022,1023.372,1476.144,54.502,70.997,69.763,91.125,56.215,0,96.959,7.947,1
602.05,1017.464,1476.144,54.502,70.891,69.657,91.153,56.243,0,96.885,7.812,1
613.763,1042.612,1519.332,54.61,70.997,69.763,91.462,56.215,0,96.737,7.853,1
585.652,992.425,1501.711,54.717,70.997,69.763,91.546,56.411,0,96.663,7.97,1
